codigo,descripcion
303,Fabricación de aeronaves
30300,Fabricación de aeronaves
304,Fabricación de vehículos militares de combate
30400,Fabricación de vehículos militares de combate
309,Fabricación de otros equipos de transporte n.c.p.
30910,Fabricación de motocicletas
30920,Fabricación de bicicletas y sillas de ruedas
30990,Fabricación de otros equipos de transporte n.c.p.
31,FABRICACIÓN DE MUEBLES
310,Fabricación de muebles
3100,Fabricación de muebles
31001,Fabricación de muebles de madera
31002,Fabricación de muebles de metal
31009,"Fabricación de muebles de otros materiales n.c.p., incluso colchones"
32,INDUSTRIAS MANUFACTURERAS N.C.P.
321,"Fabricación de joyas, bijouterie y artículos conexos"
32110,Fabricación de joyas y artículos conexos
32120,Fabricación de bijouterie y artículos conexos
322,Fabricación de instrumentos musicales
32200,Fabricación de instrumentos musicales
323,Fabricación de artículos de deporte
32300,Fabricación de artículos de deporte
324,Fabricación de juegos y juguetes
32400,Fabricación de juegos y juguetes
325,Fabricación de instrumentos y suministros médicos y dentales
32500,Fabricación de instrumentos y suministros médicos y dentales
329,Otras industrias manufactureras n.c.p.
3290,Otras industrias manufactureras n.c.p.
32901,"Fabricación de escobas, cepillos, plumeros y pinceles"
32902,Fabricación de ataúdes
32908,Fabricación y transformación de productos diversos por cuenta de terceros (MAQUILA)
32909,Otras industrias manufactureras n.c.p.
33,"MANTENIMIENTO, REPARACIÓN E INSTALACIÓN DE MAQUINAS Y EQUIPOS"
331,"Mantenimiento y reparación de productos elaborados de metal, máquinas y equipos"
33110,Mantenimiento y reparación de productos elaborados de metal
33120,Mantenimiento y reparación de máquinas y equipos de uso general y especial
33130,Mantenimiento y reparación de equipos electrónicos y ópticos
33140,Mantenimiento y reparación de equipos eléctricos
33150,"Mantenimiento y reparación de equipos de transporte, excepto los vehículos automotores"
33190,Mantenimiento y reparación de otros equipos n.c.p.
332,Instalación de máquinas y equipos
33200,Instalación de máquinas y equipos
D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
35,"ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
351,"Generación, transmisión y distribución de energía eléctrica"
3510,"Generación, transmisión y distribución de energía eléctrica"
35101,Generación de energía eléctrica
35102,Transmisión y distribución de energía eléctrica
352,Fabricación de gas; distribución de combustibles gaseosos por tuberías
35200,Fabricación de gas; distribución de combustibles gaseosos por tuberías
353,Suministro de vapor y aire acondicionado
35300,Suministro de vapor y aire acondicionado
E,"SUMINISTRO DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
36,"CAPTACIÓN, TRATAMIENTO Y SUMINISTRO DE AGUA"
360,"Captación, tratamiento y suministro de agua"
36000,"Captación, tratamiento y suministro de agua"
37,ALCANTARILLADO
370,Alcantarillado
37000,Alcantarillado
38,"RECOLECCION, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS; RECUPERACIÓN DE MATERIALES"
381,Recolección de desechos
38110,Recolección de desechos inocuos
38120,Recolección de desechos peligrosos
382,Tratamiento y eliminación de desechos
38210,Tratamiento y eliminación de desechos inocuos
38220,Tratamiento y eliminación de desechos peligrosos
383,Recuperación de materiales
3830,Recuperación de materiales
38301,Recuperación de materiales metálicos
38302,Recuperación de materiales no metálicos
39,ACTIVIDADES DE SANEAMIENTO Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS
390,Actividades de saneamiento y otros servicios de gestión de desechos
39000,Actividades de saneamiento y otros servicios de gestión de desechos
F,CONSTRUCCIÓN
41,CONSTRUCCIÓN DE EDIFICIOS
410,Construcción de edificios
4100,Construcción de edificios
41001,Inversores de emprendimientos inmobiliarios
41002,Construcción de edificios
42,INGENIERÍA CIVIL
421,"Construcción de carreteras y vías férreas, puentes y túneles"
42100,"Construcción de carreteras y vías férreas, puentes y túneles"
422,Construcción de proyectos de servicios públicos
42200,Construcción de proyectos de servicios públicos
429,Construcción de otros proyectos de ingeniería civil n.c.p.
42900,Construcción de otros proyectos de ingeniería civil n.c.p.
43,ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN
431,Demolición y preparación del terreno
43110,Demolición
43120,Preparación del terreno
432,"Instalaciones eléctricas, de fontanería y otras instalaciones de construcción"
43210,"Instalaciones eléctricas, electromecánicas y electrónicas"
4322,"Instalaciones de gas, agua, sanitarios, calefacción y aire acondicionado"
43221,Fontanería e instalaciones sanitarias
43222,Instalación de calefacción y aire acondicionado
43229,"Otras instalaciones de fontanería, calefacción y aire acondicionado"
43290,Otras instalaciones de construcción
433,Terminación y acabado de edificios
4330,Terminación y acabado de edificios
43301,Pintado y empapelado de edificios
43302,Colocación de revestimientos de pisos y paredes
43309,Otras tareas de terminación de edificios
439,Otras actividades especializadas de construcción n.c.p.
4390,Otras actividades especializadas de construcción n.c.p.
43901,Actividades de impermeabilización de edificios
43902,Levantamiento y desmantelamiento de plataformas y andamios
43903,Construcción de pilotajes para la edificación
43909,Otras actividades especializadas de construcción n.c.p
G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
45,COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
451,"Comercio de vehículos automotores, excepto motocicletas"
4510,"Comercio de vehículos automotores, excepto motocicletas"
45101,Comercio al por mayor de vehículos automotores nuevos
45102,Comercio al por mayor de vehículos automotores usados
45103,Comercio al por menor de vehículos automotores nuevos
45104,Comercio al por menor de vehículos automotores usados
45105,Agentes comisionistas por venta de vehículos automotores
452,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas"
4520,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas"
45201,Mantenimiento y reparación mecánica de vehículos
45202,Mantenimiento y reparación eléctrica y electrónica de vehículos
45203,Talleres de chapería y pintura
45204,Talleres de gomería
45205,Talleres de alineación y balanceo
45206,Lavaderos de autos
45209,Otros tipos de reparaciones de vehículos automotores n.c.p.
453,"Comercio de piezas y accesorios de vehículos automotores, excepto motocicletas"
4530,"Comercio de piezas y accesorios de vehículos automotores, excepto motocicletas"
45301,"Comercio de partes, piezas y accesorios nuevos para vehículos automotores"
45302,"Comercio de partes, piezas y accesorios usados para vehículos automotores"
45303,"Comercio de partes, piezas y accesorios nuevos y usados para vehículos automotores"
454,"Comercio, mantenimiento y reparación de motocicletas y de sus piezas y accesorios"
4540,"Comercio, mantenimiento y reparación de motocicletas y de sus piezas y accesorios"
45401,Comercio de motocicletas y de sus piezas y accesorios
45402,Mantenimiento y reparación mecánica y eléctrica de motocicletas
45403,Talleres de gomería de motocicletas
45404,Lavaderos de motocicletas
45409,Otros tipos de reparaciones de motocicletas n.c.p
46,"COMERCIO AL POR MAYOR, EXCEPTO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
461,Comercio al por mayor a cambio de una retribución o por contrata
4610,Comercio al por mayor a cambio de una retribución o por contrata
46101,Comercio al por mayor de productos agrícolas a cambio de una retribución o por contrata
46102,Comercio al por mayor de productos pecuarios a cambio de una retribución o por contrata
46103,"Comercio al por mayor de alimentos, bebidas y tabaco a cambio de una retribución o por contrata"
46104,"Comercio al por mayor de combustibles, minerales, productos siderúrgicos y químicos a cambio de una retribución o por contrata"
46109,Comercio al por mayor de mercancías n.c.p. a cambio de una retribución o por contrata
462,Comercio al por mayor de materias primas agropecuarias y animales vivos
4620,Comercio al por mayor de materias primas agropecuarias y animales vivos
46201,Comercio al por mayor de materias primas agrícolas
46202,Comercio al por mayor de materias primas pecuarias y animales vivos
463,"Comercio al por mayor de alimentos, bebidas y tabaco"
4630,"Comercio al por mayor de alimentos, bebidas y tabaco"
46301,"Comercio al por mayor de carne, menudencias y productos derivados"
46302,"Comercio al por mayor de comestibles, excepto carnes"
46303,Comercio al por mayor de alimentos para mascotas
46304,Comercio al por mayor de bebidas
46305,Comercio al por mayor de tabaco y cigarrillos
464,Comercio al por mayor de enseres domésticos
46410,"Comercio al por mayor de textiles, prendas de vestir, calzado, artículos de marroquinería y talabartería"
46420,Comercio al por mayor de productos farmacéuticos y veterinarios
46430,Comercio al por mayor de productos cosméticos y de perfumería
46440,"Comercio al por mayor de libros, revistas, periódicos, papel, cartón, materiales de embalaje y artículos de librería"
46450,"Comercio al por mayor de artículos de óptica, fotografía, relojería, joyería y fantasías"
46460,Comercio al por mayor de muebles y artículos de iluminación
46490,Comercio al por mayor de otros enseres domésticos n.c.p.
465,"Comercio al por mayor de maquinaria, equipo y suministros"
46510,Comercio al por mayor de equipos informáticos y software
