CODIGO|DESCRIPCION
2818 0|Fabricación de herramientas manuales con motor 
2819 0|Fabricación de otros tipos de maquinaria de uso general n.c.p. 
282|Fabricación de maquinarias de uso especial 
2821 0|Fabricación de maquinaria agropecuaria y forestal 
2822 0|Fabricación de máquinas herramienta 
2823 0|Fabricación de maquinaria metalúrgica 
2824 0|Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción 
2825 0|Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco 
2826 0|Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros 
2829 0|Fabricación de otros tipos de maquinaria de uso especial n.c.p. 
29|FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES 
291|Fabricación de vehículos automotores 
2910|Fabricación de vehículos automotores 
2910 1|Fabricación de vehículos automotores 
2910 2|Rectificacion de motores de vehiculos automotores 
292|Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques 
2920 0|Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques 
293|Fabricación de piezas y accesorios para vehículos automotores 
2930 0|Fabricación de piezas y accesorios para vehículos automotores 
30|FABRICACIÓN DE OTROS EQUIPOS DE TRANSPORTE N.C.P. 
301|Construcción de buques y otras embarcaciones 
3011 0|Construcción de buques y estructuras flotantes 
3012 0|Construcción de embarcaciones de recreo y deporte 
302|Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías 
3020 0|Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías 
303|Fabricación de aeronaves 
	
3030 0|Fabricación de aeronaves 
304|Fabricación de vehículos militares de combate 
3040 0|Fabricación de vehículos militares de combate 
309|Fabricación de otros equipos de transporte n.c.p. 
3091 0|Fabricación de motocicletas 
3092 0|Fabricación de bicicletas y sillas de ruedas 
3099 0|Fabricación de otros equipos de transporte n.c.p. 
31|FABRICACIÓN DE MUEBLES 
310|Fabricación de muebles 
3100|Fabricación de muebles 
3100 1|Fabricación de muebles de madera 
3100 2|Fabricación de muebles de metal 
3100 9|Fabricación de muebles de otros materiales n.c.p., incluso colchones 
32|INDUSTRIAS MANUFACTURERAS N.C.P. 
321|Fabricación de joyas, bijouterie y artículos conexos 
3211 0|Fabricación de joyas y artículos conexos 
3212 0|Fabricación de bijouterie y artículos conexos 
322|Fabricación de instrumentos musicales 
3220 0|Fabricación de instrumentos musicales 
323|Fabricación de artículos de deporte 
3230 0|Fabricación de artículos de deporte 
324|Fabricación de juegos y juguetes 
3240 0|Fabricación de juegos y juguetes 
325|Fabricación de instrumentos y suministros médicos y dentales 
3250 0|Fabricación de instrumentos y suministros médicos y dentales 
329|Otras industrias manufactureras n.c.p. 
3290|Otras industrias manufactureras n.c.p. 
3290 1|Fabricación de escobas, cepillos, plumeros y pinceles 
3290 2|Fabricación de ataúdes 
3290 8|Fabricación y transformación de productos diversos por cuenta de terceros (MAQUILA) 
3290 9|Otras industrias manufactureras n.c.p. 
33|MANTENIMIENTO, REPARACIÓN E INSTALACIÓN DE MAQUINAS Y EQUIPOS 
331|Mantenimiento y reparación de productos elaborados de metal, máquinas y equipos 
3311 0|Mantenimiento y reparación de productos elaborados de metal 
3312 0|Mantenimiento y reparación de máquinas y equipos de uso general y especial 
3313 0|Mantenimiento y reparación de equipos electrónicos y ópticos 
3314 0|Mantenimiento y reparación de equipos eléctricos 
3315 0|Mantenimiento y reparación de equipos de transporte, excepto los vehículos automotores 
3319 0|Mantenimiento y reparación de otros equipos n.c.p. 
332|Instalación de máquinas y equipos 
3320 0|Instalación de máquinas y equipos 
D|SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO 
35|ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO 
351|Generación, transmisión y distribución de energía eléctrica 
3510|Generación, transmisión y distribución de energía eléctrica 
3510 1|Generación de energía eléctrica 
3510 2|Transmisión y distribución de energía eléctrica 
352|Fabricación de gas; distribución de combustibles gaseosos por tuberías 
3520 0|Fabricación de gas; distribución de combustibles gaseosos por tuberías 
353|Suministro de vapor y aire acondicionado 
3530 0|Suministro de vapor y aire acondicionado 
E|SUMINISTRO DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO 
36|CAPTACIÓN, TRATAMIENTO Y SUMINISTRO DE AGUA 
	
360|Captación, tratamiento y suministro de agua 
36000|Captación, tratamiento y suministro de agua 
37|ALCANTARILLADO 
370|Alcantarillado 
37000|Alcantarillado 
38|RECOLECCION, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS; RECUPERACIÓN DE MATERIALES 
381|Recolección de desechos 
3811 0|Recolección de desechos inocuos 
3812 0|Recolección de desechos peligrosos 
382|Tratamiento y eliminación de desechos 
3821 0|Tratamiento y eliminación de desechos inocuos 
3822 0|Tratamiento y eliminación de desechos peligrosos 
383|Recuperación de materiales 
3830|Recuperación de materiales 
3830 1|Recuperación de materiales metálicos 
3830 2|Recuperación de materiales no metálicos 
39|ACTIVIDADES DE SANEAMIENTO Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS 
390|Actividades de saneamiento y otros servicios de gestión de desechos 
3900 0|Actividades de saneamiento y otros servicios de gestión de desechos 
F|CONSTRUCCIÓN 
41|CONSTRUCCIÓN DE EDIFICIOS 
410|Construcción de edificios 
4100|Construcción de edificios 
4100 1|Inversores de emprendimientos inmobiliarios 
4100 2|Construcción de edificios 
42|INGENIERÍA CIVIL 
421|Construcción de carreteras y vías férreas, puentes y túneles 
4210 0|Construcción de carreteras y vías férreas, puentes y túneles 
422|Construcción de proyectos de servicios públicos 
4220 0|Construcción de proyectos de servicios públicos 
429|Construcción de otros proyectos de ingeniería civil n.c.p. 
4290 0|Construcción de otros proyectos de ingeniería civil n.c.p. 
43|ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN 
431|Demolición y preparación del terreno 
4311 0|Demolición 
4312 0|Preparación del terreno 
432|Instalaciones eléctricas, de fontanería y otras instalaciones de construcción 
4321 0|Instalaciones eléctricas, electromecánicas y electrónicas 
4322|Instalaciones de gas, agua, sanitarios, calefacción y aire acondicionado 
4322 1|Fontanería e instalaciones sanitarias 
4322 2|Instalación de calefacción y aire acondicionado 
4322 9|Otras instalaciones de fontanería, calefacción y aire acondicionado 
4329 0|Otras instalaciones de construcción 
433|Terminación y acabado de edificios 
4330|Terminación y acabado de edificios 
4330 1|Pintado y empapelado de edificios 
4330 2|Colocación de revestimientos de pisos y paredes 
4330 9|Otras tareas de terminación de edificios 
439|Otras actividades especializadas de construcción n.c.p. 
4390|Otras actividades especializadas de construcción n.c.p. 
4390 1|Actividades de impermeabilización de edificios 
4390 2|Levantamiento y desmantelamiento de plataformas y andamios 
4390 3|Construcción de pilotajes para la edificación 
	
4390 9|Otras actividades especializadas de construcción n.c.p 
G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS 
45|COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS 
451|Comercio de vehículos automotores, excepto motocicletas 
4510|Comercio de vehículos automotores, excepto motocicletas 
4510 1|Comercio al por mayor de vehículos automotores nuevos 
4510 2|Comercio al por mayor de vehículos automotores usados 
4510 3|Comercio al por menor de vehículos automotores nuevos 
4510 4|Comercio al por menor de vehículos automotores usados 
4510 5|Agentes comisionistas por venta de vehículos automotores 
452|Mantenimiento y reparación de vehículos automotores, excepto motocicletas 
4520|Mantenimiento y reparación de vehículos automotores, excepto motocicletas 
4520 1|Mantenimiento y reparación mecánica de vehículos 
4520 2|Mantenimiento y reparación eléctrica y electrónica de vehículos 
4520 3|Talleres de chapería y pintura 
4520 4|Talleres de gomería 
4520 5|Talleres de alineación y balanceo 
4520 6|Lavaderos de autos 
4520 9|Otros tipos de reparaciones de vehículos automotores n.c.p. 
453|Comercio de piezas y accesorios de vehículos automotores, excepto motocicletas 
4530|Comercio de piezas y accesorios de vehículos automotores, excepto motocicletas 
4530 1|Comercio de partes, piezas y accesorios nuevos para vehículos automotores 
4530 2|Comercio de partes, piezas y accesorios usados para vehículos automotores 
4530 3|Comercio de partes, piezas y accesorios nuevos y usados para vehículos automotores 
454|Comercio, mantenimiento y reparación de motocicletas y de sus piezas y accesorios 
4540|Comercio, mantenimiento y reparación de motocicletas y de sus piezas y accesorios 
4540 1|Comercio de motocicletas y de sus piezas y accesorios 
4540 2|Mantenimiento y reparación mecánica y eléctrica de motocicletas 
